variant_id,object_id,stored,success,attempt,usable_good_frac,success_rate,slots,min_slot_count,max_slot_count
1048,29,27,128,131,0.2109375,0.9770992366412213,3,5,12
774,1,27,126,131,0.21428571428571427,0.9618320610687023,3,0,24
1294,17,27,122,126,0.22131147540983606,0.9682539682539683,3,2,13
395,7,27,121,123,0.2231404958677686,0.983739837398374,3,2,15
1008,9,27,118,123,0.2288135593220339,0.959349593495935,3,0,23
170,10,27,111,119,0.24324324324324326,0.9327731092436975,3,2,21
93,2,27,110,129,0.24545454545454545,0.8527131782945736,3,3,14
900,19,27,103,115,0.2621359223300971,0.8956521739130435,3,2,20
1644,12,27,98,122,0.2755102040816326,0.8032786885245902,3,1,24
594,10,27,94,124,0.2872340425531915,0.7580645161290323,3,0,27
1354,16,28,155,161,0.18064516129032257,0.9627329192546584,3,4,19
324,25,28,145,157,0.19310344827586207,0.9235668789808917,3,2,18
887,4,28,145,167,0.19310344827586207,0.8682634730538922,3,2,13
58,23,28,144,146,0.19444444444444445,0.9863013698630136,3,3,18
606,4,28,141,143,0.19858156028368795,0.986013986013986,3,5,14
792,21,28,138,150,0.2028985507246377,0.92,3,2,14
1321,24,28,137,147,0.20437956204379562,0.9319727891156463,3,4,17
644,26,28,133,139,0.21052631578947367,0.9568345323741008,3,3,17
1808,28,28,131,132,0.21374045801526717,0.9924242424242424,3,3,13
302,1,28,127,138,0.2204724409448819,0.9202898550724637,3,0,28
391,13,28,127,187,0.2204724409448819,0.679144385026738,3,1,15
1873,24,28,126,133,0.2222222222222222,0.9473684210526315,3,4,16
340,2,28,125,132,0.224,0.946969696969697,3,1,17
650,30,28,121,124,0.23140495867768596,0.9758064516129032,3,6,12
199,0,28,118,122,0.23728813559322035,0.9672131147540983,3,0,17
501,13,28,117,122,0.23931623931623933,0.9590163934426229,3,2,22
1879,4,28,113,116,0.24778761061946902,0.9741379310344828,3,2,23
1372,7,28,112,117,0.25,0.9572649572649573,3,1,22
1679,20,28,112,115,0.25,0.9739130434782609,3,7,14
2047,8,28,112,120,0.25,0.9333333333333333,3,3,18
306,23,28,79,106,0.35443037974683544,0.7452830188679245,3,3,22
1201,7,29,137,152,0.2116788321167883,0.9013157894736842,3,1,22
107,10,29,135,139,0.21481481481481482,0.9712230215827338,3,2,22
319,4,29,132,137,0.2196969696969697,0.9635036496350365,3,1,25
2007,31,29,130,136,0.2230769230769231,0.9558823529411765,3,5,16
